date,AUD,ZAR,MYR,SGD,EUR,KRW,HRK,TRY,RUB,HKD,INR,CZK,LVL,LTL,SEK,IDR,JPY,GBP,MXN,DKK,HUF,RON,BGN,NZD,CAD,PLN,NOK,THB,PHP,ILS,CHF,CNY,BRL
2009-10-30,1.0996,7.7378,3.4125,1.3983,0.67568,1181.1,4.8848,1.4939,29.061,7.75,47.01,17.877,0.47912,2.333,7.0162,9581.8,90.986,0.60389,13.055,5.0291,184.72,2.9084,1.3215,1.3747,1.0778,2.8655,5.6699,33.435,47.622,,1.0218,6.8277,1.728
2009-11-06,1.0924,7.5589,3.4015,1.3927,0.67286,1166.7,4.89,1.4843,28.991,7.75,46.76,17.276,0.47719,2.3232,6.989,9460.4,90.674,0.60288,13.315,5.0075,184.91,2.8953,1.316,1.3829,1.0714,2.8576,5.6749,33.375,47.2,,1.017,6.8275,1.7189
2009-11-13,1.0774,7.4448,3.3755,1.3865,0.67259,1157.7,4.9116,1.4817,28.873,7.7502,46.254,17.174,0.47653,2.3223,6.8859,9372.5,89.797,0.59944,13.173,5.0045,180.79,2.8927,1.3154,1.3567,1.0529,2.765,5.6258,33.282,46.67,,1.0155,6.8261,1.7404
2009-11-20,1.1002,7.5896,3.3855,1.3902,0.67499,1159.0,4.9464,1.4982,29.079,7.7503,46.606,17.474,0.4781,2.3306,6.9889,9468.1,89.011,0.60692,13.09,5.023,182.03,2.892,1.3201,1.3858,1.0716,2.8028,5.6868,33.25,47.1,,1.021,6.8275,1.737
2009-11-27,1.1065,7.4769,3.391,1.3879,0.67033,1175.4,4.9055,1.5304,29.345,7.7504,46.65,17.553,0.47526,2.3145,6.9929,9534.8,86.607,0.6094,12.978,4.9891,182.54,2.8682,1.311,1.4135,1.072,2.7909,5.6925,33.225,47.2,,1.0098,6.8287,1.7435
2009-12-04,1.079,7.3407,3.3805,1.3809,0.66366,1152.9,4.8427,1.4821,29.306,7.7502,46.295,17.15,0.46941,2.2915,6.8835,9415.3,88.32,0.60048,12.568,4.9387,178.62,2.801,1.298,1.3788,1.0471,2.7162,5.6345,33.118,46.0,,0.99967,6.8271,1.7076
2009-12-11,1.0894,7.4717,3.3995,1.3888,0.67764,1164.3,4.9339,1.4947,30.069,7.7502,46.561,17.434,0.47896,2.3398,7.0807,9443.7,88.86,0.61337,12.885,5.043,185.08,2.8846,1.3253,1.3739,1.0491,2.8093,5.7217,33.115,46.135,,1.0249,6.8279,1.7514
2009-12-18,1.1269,7.5678,3.4375,1.4021,0.6975,1175.0,5.0838,1.5212,30.668,7.7569,46.73,18.334,0.49299,2.4083,7.2944,9505.5,90.451,0.61868,12.919,5.1904,193.24,2.9356,1.3642,1.4108,1.0668,2.9246,5.8558,33.225,46.605,,1.0433,6.828,1.7937
2009-12-24,1.1317,7.5372,3.43,1.4046,0.69454,1175.1,5.0771,1.5139,29.664,7.7539,46.666,18.353,0.49222,2.3981,7.2607,9478.4,91.492,0.62564,12.886,5.1702,189.56,2.9241,1.3584,1.4162,1.0454,2.8839,5.79,33.345,46.513,,1.0336,6.828,1.7583
2009-12-31,1.1112,7.4039,3.424,1.4018,0.69416,1157.2,5.0673,1.4957,29.956,7.7544,46.536,18.376,0.49236,2.3968,7.1165,9458.6,92.434,0.61648,13.135,5.1658,187.71,2.9406,1.3576,1.3746,1.0501,2.8492,5.7615,33.31,46.166,,1.0298,6.827,1.7432
2010-01-08,1.0937,7.4441,3.3775,1.3989,0.70062,1130.8,5.0962,1.4734,29.777,7.7559,45.758,18.434,0.49695,2.4191,7.1646,9298.7,93.435,0.62594,12.749,5.2133,188.73,2.9184,1.3703,1.3708,1.0356,2.8787,5.7237,33.16,45.811,,1.038,6.8275,1.7468
2010-01-15,1.0816,7.4155,3.3395,1.3903,0.6957,1123.1,5.071,1.454,29.569,7.7598,45.708,18.051,0.4929,2.4021,7.0565,9215.2,90.97,0.61295,12.717,5.1774,185.61,2.8554,1.3607,1.3564,1.0263,2.8106,5.6651,32.868,45.824,,1.0266,6.8269,1.7697
2010-01-22,1.1078,7.6144,3.398,1.4035,0.70746,1150.3,5.1624,1.4913,29.842,7.7715,46.31,18.524,0.50103,2.4427,7.226,9348.4,90.096,0.61995,12.988,5.2675,192.44,2.9335,1.3837,1.4073,1.0535,2.9019,5.798,33.03,46.183,,1.0405,6.8269,1.818
2010-01-29,1.1198,7.5684,3.411,1.4041,0.71602,1161.4,5.2377,1.4888,30.316,7.7667,46.195,18.776,0.50745,2.4723,7.3314,9359.2,90.327,0.62047,13.025,5.3303,194.15,2.9396,1.4004,1.4157,1.0686,2.8973,5.88,33.175,46.486,,1.0498,6.8268,1.8621
2010-02-05,1.1556,7.7087,3.444,1.4225,0.73041,1169.6,5.3466,1.5182,30.484,7.7715,46.797,19.126,0.51764,2.5219,7.4794,9450.0,89.468,0.63783,13.174,5.4378,200.2,3.0264,1.4285,1.4507,1.0736,2.9855,6.0036,33.21,46.563,,1.0724,6.8271,1.8814
2010-02-12,1.1322,7.6945,3.4205,1.4145,0.73681,1151.9,5.3901,1.5192,30.274,7.7704,46.493,19.176,0.52247,2.5441,7.305,9339.1,90.134,0.64036,13.01,5.4852,199.29,3.0407,1.4411,1.4412,1.0514,2.9599,5.9409,33.205,46.256,,1.0794,6.833,1.863
2010-02-19,1.1222,7.7003,3.4135,1.4147,0.7397,1159.9,5.3924,1.525,30.056,7.7668,46.305,19.058,0.5246,2.554,7.2831,9335.0,91.849,0.64968,12.87,5.5055,200.68,3.0557,1.4467,1.4407,1.0515,2.962,5.9956,33.175,46.268,,1.0843,6.833,1.8165
2010-02-26,1.1231,7.7413,3.4027,1.4068,0.73692,1159.9,5.3615,1.5487,30.015,7.7627,46.105,19.138,0.52262,2.5444,7.1673,9323.5,89.108,0.65785,12.796,5.4847,198.89,3.0321,1.4413,1.4406,1.0578,2.9254,5.9274,33.065,46.128,,1.0787,6.826,1.8216
2010-03-05,1.1076,7.4562,3.364,1.3992,0.73627,1140.2,5.3492,1.5462,29.835,7.7632,45.594,18.974,0.52194,2.5422,7.1549,9235.0,89.442,0.66448,12.675,5.4794,196.42,3.0121,1.44,1.451,1.0316,2.8534,5.9262,32.625,46.047,,1.0773,6.8265,1.7829
2010-03-12,1.0891,7.3847,3.307,1.3932,0.72648,1128.4,5.2728,1.5269,29.282,7.7581,45.441,18.538,0.51449,2.5084,7.0678,9130.4,90.498,0.65986,12.542,5.4059,193.35,2.9724,1.4208,1.4223,1.018,2.8362,5.8358,32.546,45.664,,1.0604,6.8255,1.7624
2010-03-19,1.087,7.3043,3.3033,1.3955,0.73812,1132.8,5.3587,1.5335,29.285,7.7598,45.505,18.722,0.52251,2.5486,7.1431,9106.1,90.685,0.66025,12.516,5.4922,193.9,3.013,1.4436,1.4057,1.0087,2.8635,5.885,32.279,45.54,,1.061,6.8265,1.7938
2010-03-26,1.1067,7.4558,3.3065,1.4046,0.7489,1138.8,5.4391,1.5368,29.6,7.7623,45.218,19.035,0.53007,2.5858,7.2705,9113.3,92.863,0.67431,12.54,5.5731,198.48,3.0494,1.4647,1.421,1.0276,2.9127,6.0646,32.415,45.51,,1.0699,6.827,1.8216
